PDB,Smile String,miLogP,TPSA,natoms,MW,nOH,nOHNH,nviolations,nrotb,volume,DeltaG(kJ/mol),deltaH(kJ/mol),TdeltaS(kJ/mol),Kd(uM)
1a08,CCCCCN(CCCCC)C(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](NC(=O)C)Cc1ccc(cc1)C(F)(F)P(=O)([O-])[O-],-0.39,181.82,41,602.59,11,2,2,19,536.26,-32.64,-21.34,11.23,2.4 +- 0.7
1a1b,CCCCCN(CCCCC)C(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](NC(=O)C)Cc1ccc(cc1)OP(=O)([O-])[O-],-0.95,191.05,39,568.58,12,2,2,19,518.88,-37.24,-17.99,19.09,0.4 +- 0.1
1a1c,[O-]C(=O)CC[C@@H](NC(=O)[C@@H](NC(=O)C)Cc1ccc(cc1)OP(=O)([O-])[O-])C(=O)N(C)CCCC1CCCC1,-2.52,191.05,38,552.54,12,2,2,15,491.5,-36.82,-29.71,7.11,0.4 +- 0.6
1a1e,CCCCC1CCCN(C1)C(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](NC(=O)C)Cc1ccc(cc1)OP(=O)([O-])[O-],-2.12,191.05,38,552.54,12,2,2,14,491.5,-35.15,-22.59,12.47,1.0 +- 0.5
1a30,OC(=O)CCC(N)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)O,-3.89,196.12,26,375.38,11,7,2,12,335.34,-26.54,-15.06,11.48,22.22
1b05,NCCCCC(N)C(=O)NC(CS)C(=O)NC(CCCCN)C(=O)O,-4.6,173.56,25,377.51,9,9,1,14,355.63,-40.6,7.9,48.2 +- 1.4,0.08 +- 0.0
1b32,NCCCCC(N)C(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)O,-4.3,173.56,27,405.56,9,9,1,16,389.46,-40.5,14.6 +- 0.8,54.9 +- 1.2,0.08 +- 0.02
1b3f,NCCCCC(N)C(=O)NC(Cc1[nH]cnc1)C(=O)NC(CCCCN)C(=O)O,-4.75,202.25,29,411.51,11,10,2,15,390.21,-39.3,20.6 +- 3.0,59.8 +- 3.9,0.13 +- 0.04
1b3g,NCCCCC(N)C(=O)NC(C(C)CC)C(=O)NC(CCCCN)C(=O)O,-3.52,173.56,27,387.52,9,9,1,15,387.92,-38.3,20.5 +- 3.8,58.6 +- 4.4,0.2 +- 0.06
1b3l,NCCCCC(N)C(=O)NCC(=O)NC(CCCCN)C(=O)O,-4.49,173.56,23,331.42,9,9,1,13,321.14,-33.6,14.1 +- 0.36,47.5 +- 0.8,1.3 +- 0.46
1b40,NCCCCC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCCN)C(=O)O,-3.34,173.56,30,421.54,9,9,1,15,409.38,-41.5,22,63.2 +- 1.6,0.05 +- 0.01
1b46,NCCCCC(NC(=O)C1CCCN1C(=O)C(N)CCCCN)C(=O)O,-4.41,164.78,26,371.48,9,8,1,12,361.12,-30.1,16.6 +- 0.6,46.5 +- 0.4,5.2 +- 0.78
1b4z,NCCCCC(N)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)O,-4.97,210.86,27,389.45,11,10,2,15,364.97,-29.8,8.1,37.7 +- 0.8,5.9 +- 1.2
1b51,NCCCCC(N)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)O,-5.02,193.79,25,361.44,10,10,1,14,345.99,-42,8.9 +- 0.7,50.6 +- 0.6,0.04 +- 0.01
1b52,NCCCCC(N)C(=O)NC(C(C)O)C(=O)NC(CCCCN)C(=O)O,-4.88,193.79,26,375.47,10,10,1,14,362.58,-40.6,17.3 +- 1.7,57.6 +- 1.5,0.08 +- 0.0
1b58,NCCCCC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCCN)C(=O)O,-3.82,193.79,31,437.54,10,10,1,15,417.4,-37.5,20.7 +- 3.9,57.9 +- 4.2,0.26 +- 0.04
1b5i,NCCCCC(N)C(=O)NC(CC(=O)N)C(=O)NC(CCCCN)C(=O)O,-4.65,216.66,27,388.47,11,11,2,15,368.25,-40.2,7.7 +- 0.2,47.9 +- 1.1,0.09 +- 0.04
1b5j,NCCCCC(N)C(=O)NC(CCC(=O)N)C(=O)NC(CCCCN)C(=O)O,-5.06,216.66,28,402.5,11,11,2,16,385.05,-42.4,11.4 +- 0.5,53.4 +- 0.5,0.04 +- 0.0
1b9j,NCCCCC(N)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)O,-3.49,173.56,27,387.52,9,9,1,15,387.92,-33.9,24.6 +- 0.9,58.3 +- 3.1,1.1 +- 0.18
1bgq,C[C@@H]1C[C@H]2O[C@@H]2C=CC=CC(=O)Cc2c(C(=O)O1)c(O)cc(O)c2Cl,2.7,96.36,25,364.78,6,2,0,0,303.35,-48.9,-22.8,26.09,0
1bvi,OC[C@H]1O[C@@H]([C@H](OP(=O)(O)O)[C@@H]1O)n1cnc2c(=O)[nH]c(N)nc12,-2.68,206.05,24,363.22,13,7,2,4,272,-32.89,-38.03,-5.14,1.73 +- 71.43
1ce5,NC(=N)c1ccccc1,0.32,49.88,9,120.16,2,3,0,1,117.63,-26.6,-18.9,7.7,22.22
1e4w,OCC1NOC(=O)CCC(NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)N)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2[nH]cnc2)NC1=O)C(=O)O,-4.58,399.75,66,922.91,25,14,3,13,794.85,-43.1,-111.29,-68.2,0.03
1e4x,OCC(NC(=O)C(NC(=O)C(N)C(C)C)C(C)C)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)O,-4.83,367.21,58,816.87,22,14,3,24,729.88,-43.1,-102.93,-59.83,0.03
1gz9,OC[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@@H]1O)[C@@H](O)[C@H](O)C=O,-4.82,256.29,33,488.44,15,10,2,10,411.8,-20,-19.7,0.3,312.5 +- 5000.0
1gzc,OC[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O,-4.45,189.53,23,342.3,11,8,2,4,283.93,-19.9,-29.9,-10.44,322.58 +- 10000.0
1hpv,Nc1ccc(cc1)S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](NC(=O)O[C@H]1CCOC1)Cc1ccccc1,4.13,131.2,35,505.64,9,4,1,12,458.73,-55.65,-28.03,27.61,170
1hsg,O[C@@H](C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1[C@H](O)Cc2ccccc12)CN1CCN(Cc2cccnc2)C[C@@H]1C(=O)NC(C)(C)C,2.51,118.02,45,613.8,9,4,1,12,590.13,-53.14,8.79,61.92,0.0 +- 0.0
1i82,OC[C@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]1O,-4.45,189.53,23,342.3,11,8,2,4,283.93,-33.52,-46.32,-12.91,1.34 +- 166.67
1i8a,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,-2.64,110.37,12,180.16,6,5,0,1,151.81,-20.19,-31.18,-11.37,333.33
1is0,CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C1C(C(=O)NC)C1c1ccc(cc1)OP(=O)(O)O)C(=O)O,-3.1,295.05,47,686.61,18,9,3,19,584.6,-39.96,-18.74,21.21 +- 1.25,0.1 +- 1.0
1jet,NCCCCC(N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)O,-4.59,173.56,24,345.44,9,9,1,13,337.73,-41.1,20.1,61.1 +- 0.9,0.06 +- 0.05
1jeu,NCCCCC(N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)O,-4.86,210.86,28,403.48,11,10,2,16,381.78,-38.9,11.3,50.0 +- 1.1,0.15 +- 0.02
1jev,NCCCCC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCCN)C(=O)O,-3.19,189.35,33,460.58,10,10,1,15,438.36,-39.2,29.3 +- 1.0,68.2 +- 1.0,0.13 +- 0.01
1k1i,OC(=O)[C@@H]1CCCCN1C(=O)[C@H](Cc1cccc(c1)C(=N)N)NS(=O)(=O)c1ccc2ccccc2c1,0.38,153.65,36,508.6,9,5,1,8,442.46,-36.4,-20.6,15.8 +- 1.9,0.41 +- 5.26
1k1j,COC(=O)[C@H]1CCN(CC1)C(=O)[C@H](Cc1cccc(c1)C(=N)N)NS(=O)(=O)c1ccc2ccccc2c1,2.33,142.66,37,522.63,9,4,1,9,459.98,-43.6,-39.6,4.0 +- 1.1,0.02 +- 0.12
1k1l,O=C(N1CCNCC1)[C@H](Cc1cccc(c1)C(=N)N)NS(=O)(=O)c1ccc2ccccc2c1,0.99,128.38,33,465.58,8,5,0,7,411.03,-40.8,-32.9,7.9,0.07 +- 0.2
1k1m,O=C(N1CCN(CC1)C(=O)C)[C@H](Cc1cccc(c1)C(=N)N)NS(=O)(=O)c1ccc2ccccc2c1,0.95,136.66,36,507.62,9,4,1,7,446.95,-42.6,-34.4,8.2 +- 0.9,0.03 +- 0.19
1k1n,COc1cc(C)c(c(C)c1C)S(=O)(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc1ccc(cc1)C(=N)N)C(=O)N1CCCCC1,1.24,191.98,42,601.73,12,6,3,12,538.68,-38.3,-24.7,10.6 +- 1.2,0.19 +- 1.3
1kzn,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(oc(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c3O)c2Cl)OC1(C)C,5.73,189.79,49,697.14,13,5,3,10,596.84,-51,-39.6,11.4 +- 1.0,0.0 +- 0.0
1lzb,OC[C@H]1O[C@H](O[C@@H]2[C@H](CO)O[C@H](O)[C@@H](NC(=O)C)[C@H]2O)[C@@H](NC(=O)C)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1NC(=O)C,-5.57,295.29,43,627.6,19,11,3,10,535.84,-29.29,-58.99,-29.71,7.4
1nzl,O=CCN1CCCC1C(=O)NC(CCC(=O)N)C(=O)NC(Cc1ccc(cc1)OP(O)(O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccc(cc1)OP(O)(O)O)C(=O)NC(C(C)CC)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)CC,-5.36,472.73,84,1228.19,30,16,3,34,1075.12,-40.58,-29.29,11.3 +- 0.84,0.08 +- 0.33
1nzv,O=CCN1CCCC1C(=O)NC(CCC(=O)N)C(=O)NC(Cc1ccc(cc1)OP(O)(O)O)C(=O)NC(C(C)CC)C(=O)NC(Cc1ccc(cc1)OP(O)(O)O)C(=O)NC(C(C)C)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)CC,-4.95,435.44,82,1198.21,28,15,3,32,1064.46,-36.4,-6.28,30.12 +- 0.84,0.4
1odi,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,-0.85,139.55,19,267.25,9,5,0,2,218.53,-23.88,-96.23,-72.35,62.11
1odj,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1O)n1cnc2c(=O)[nH]c(N)nc12,-2.02,159.52,20,283.24,10,6,1,2,226.66,-23.56,-99.16,-75.6,80
1ohr,O[C@H](CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)[C@@H](CSc1ccccc1)NC(=O)c1cccc(O)c1C,5.47,101.89,40,567.8,7,4,2,10,544.79,-54.81,10.88,65.69,0.0 +- 0.0
1oif,OC[C@H]1CNC[C@@H](O)[C@@H]1O,-1.94,72.71,10,147.17,4,4,0,1,139.14,-42.26,-31,11.21 +- 3.35,0.06 +- 0.43
1oim,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,-2.4,92.94,11,163.17,5,5,0,1,147.18,-26.74,-26.44,0.38 +- 0.75,23.26 +- 1000.0
