PDB,Smile String,Molar Refractivity,Polarizability (10-24cm3),miLogP,TPSA,natoms,MW,nOH,nOHNH,nviolations,nrotb,volume,DeltaG(kJ/mol),deltaH(kJ/mol),TdeltaS(kJ/mol),GPCR ligand ,Ion channel Modulator ,Kinase Inhibitor,Nuclear Receptor ligand ,Protease ligand,Enzyme inhibitor,
1a08,CCCCCN(CCCCC)C(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](NC(=O)C)Cc1ccc(cc1)C(F)(F)P(=O)([O-])[O-],146.4,58.1,-0.39,181.82,41,602.59,11,2,2,19,536.26,-32.64,-21.34,11.23,0.29,-0.167,0.125,-0.046,0.453,0.266,
1a1b,CCCCCN(CCCCC)C(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](NC(=O)C)Cc1ccc(cc1)OP(=O)([O-])[O-],143.7,57,-0.95,191.05,39,568.58,12,2,2,19,518.88,-37.24,-17.99,19.09,0.35,-0.13,0.116,0.117,0.528,0.17,
1a1c,[O-]C(=O)CC[C@@H](NC(=O)[C@@H](NC(=O)C)Cc1ccc(cc1)OP(=O)([O-])[O-])C(=O)N(C)CCCC1CCCC1,136.9,54.3,-2.52,191.05,38,552.54,12,2,2,15,491.5,-36.82,-29.71,7.11,0.404,-0.056,0.149,0.18,0.583,0.238,
1a1e,CCCCC1CCCN(C1)C(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](NC(=O)C)Cc1ccc(cc1)OP(=O)([O-])[O-],136.7,54.2,-2.12,191.05,38,552.54,12,2,2,14,491.5,-35.15,-22.59,12.47,0.404,-0.051,0.123,0.129,0.583,0.198,
1a30,OC(=O)CCC(N)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)O,86.9,62.5,-3.89,196.12,26,375.38,11,7,2,12,335.34,-26.54,-15.06,11.48,0.515,0.312,-0.067,0.174,0.894,0.429,
1b05,NCCCCC(N)C(=O)NC(CS)C(=O)NC(CCCCN)C(=O)O,98.7,39.1,-4.6,173.56,25,377.51,9,9,1,14,355.63,-40.6,7.9,48.2,0.578,0.385,0.183,0.078,1.169,0.713,
1b32,NCCCCC(N)C(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)O,108.1,42.9,-4.3,173.56,27,405.56,9,9,1,16,389.46,-40.5,14.6,54.9,0.431,0.243,-0.185,0.038,0.85,0.505,
1b3f,NCCCCC(N)C(=O)NC(Cc1[nH]cnc1)C(=O)NC(CCCCN)C(=O)O,107.8,42.8,-4.75,202.25,29,411.51,11,10,2,15,390.21,-39.3,20.6,59.8,0.716,0.513,0.325,-0.266,0.918,0.661,
1b3g,NCCCCC(N)C(=O)NC(C(C)CC)C(=O)NC(CCCCN)C(=O)O,104.7,41.5,-3.52,173.56,27,387.52,9,9,1,15,387.92,-38.3,20.5,58.6,0.433,0.27,-0.015,-0.077,0.858,0.426,
1b3l,NCCCCC(N)C(=O)NCC(=O)NC(CCCCN)C(=O)O,86.2,34.2,-4.49,173.56,23,331.42,9,9,1,13,321.14,-33.6,14.1,47.5,0.557,0.293,-0.003,0.008,0.884,0.456,
1b40,NCCCCC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCCN)C(=O)O,115.3,45.7,-3.34,173.56,30,421.54,9,9,1,15,409.38,-41.5,22,63.2,0.531,0.38,0.122,0.134,0.797,0.424,
1b46,NCCCCC(NC(=O)C1CCCN1C(=O)C(N)CCCCN)C(=O)O,97.8,38.8,-4.41,164.78,26,371.48,9,8,1,12,361.12,-30.1,16.6,46.5,0.695,0.452,0.115,0.218,1.082,0.512,
1b4z,NCCCCC(N)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)O,97,38.5,-4.97,210.86,27,389.45,11,10,2,15,364.97,-29.8,8.1,37.7,0.579,0.386,0.092,0.14,0.873,0.481,
1b51,NCCCCC(N)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)O,124.5,36.6,-5.02,193.79,25,361.44,10,10,1,14,345.99,-42,8.9,50.6,0.602,0.425,0.124,0.129,0.922,0.56,
1b52,NCCCCC(N)C(=O)NC(C(C)O)C(=O)NC(CCCCN)C(=O)O,97,38.4,-4.88,193.79,26,375.47,10,10,1,14,362.58,-40.6,17.3,57.6,0.536,0.28,0.004,0.198,0.884,0.482,
1b58,NCCCCC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCCN)C(=O)O,134.6,53.4,-3.82,193.79,31,437.54,10,10,1,15,417.4,-37.5,20.7,57.9,0.535,0.391,0.145,0.221,0.763,0.437,
1b5i,NCCCCC(N)C(=O)NC(CC(=O)N)C(=O)NC(CCCCN)C(=O)O,99,39.3,-4.65,216.66,27,388.47,11,11,2,15,368.25,-40.2,7.7,47.9,0.501,0.287,0.124,0.125,0.865,0.432,
1b5j,NCCCCC(N)C(=O)NC(CCC(=O)N)C(=O)NC(CCCCN)C(=O)O,103.7,41.1,-5.06,216.66,28,402.5,11,11,2,16,385.05,-42.4,11.4,53.4,0.494,0.315,0.126,0.156,0.816,0.432,
1b9j,NCCCCC(N)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)O,104.7,41.5,-3.49,173.56,27,387.52,9,9,1,15,387.92,-33.9,24.6,58.3,0.534,0.39,0.049,0.177,0.917,0.446,
1bgq,C[C@@H]1C[C@H]2O[C@@H]2C=CC=CC(=O)Cc2c(C(=O)O1)c(O)cc(O)c2Cl,89.4,35.4,2.7,96.36,25,364.78,6,2,0,0,303.35,-48.9,-22.8,26.09,0.171,0.04,0.622,0.442,0.202,0.655,
