DeltaG(kJ/mol),deltaH(kJ/mol),TdeltaS(kJ/mol),GPCR ligand ,Ion channel Modulator ,Kinase Inhibitor,Nuclear Receptor ligand ,Protease ligand,Enzyme inhibitor,OH.OHNH
-32.64,-21.34,11.23,0.29,-0.167,0.125,-0.046,0.453,0.266,13
-37.24,-17.99,19.09,0.35,-0.13,0.116,0.117,0.528,0.17,14
-36.82,-29.71,7.11,0.404,-0.056,0.149,0.18,0.583,0.238,14
-35.15,-22.59,12.47,0.404,-0.051,0.123,0.129,0.583,0.198,14
-26.54,-15.06,11.48,0.515,0.312,-0.067,0.174,0.894,0.429,18
-40.6,7.9,48.2,0.578,0.385,0.183,0.078,1.169,0.713,18
-40.5,14.6,54.9,0.431,0.243,-0.185,0.038,0.85,0.505,18
-39.3,20.6,59.8,0.716,0.513,0.325,-0.266,0.918,0.661,21
-38.3,20.5,58.6,0.433,0.27,-0.015,-0.077,0.858,0.426,18
-33.6,14.1,47.5,0.557,0.293,-0.003,0.008,0.884,0.456,18
-41.5,22,63.2,0.531,0.38,0.122,0.134,0.797,0.424,18
-30.1,16.6,46.5,0.695,0.452,0.115,0.218,1.082,0.512,17
-29.8,8.1,37.7,0.579,0.386,0.092,0.14,0.873,0.481,21
-42,8.9,50.6,0.602,0.425,0.124,0.129,0.922,0.56,20
-40.6,17.3,57.6,0.536,0.28,0.004,0.198,0.884,0.482,20
-37.5,20.7,57.9,0.535,0.391,0.145,0.221,0.763,0.437,20
-40.2,7.7,47.9,0.501,0.287,0.124,0.125,0.865,0.432,22
-42.4,11.4,53.4,0.494,0.315,0.126,0.156,0.816,0.432,22
-33.9,24.6,58.3,0.534,0.39,0.049,0.177,0.917,0.446,18
-48.9,-22.8,26.09,0.171,0.04,0.622,0.442,0.202,0.655,8
-32.89,-38.03,-5.14,1.321,0.754,1.019,-0.799,0.326,1.589,20
-26.6,-18.9,7.7,-1.313,-0.925,-1.971,-2.681,-0.735,-1.338,5
-43.1,-102.93,-59.83,-1.552,-2.874,-2.551,-2.983,-0.77,-2.069,36
-20,-19.7,0.3,0.053,-0.02,-0.12,-0.138,0.2,0.365,25
-19.9,-29.9,-10.44,0.22,0.164,0.039,-0.029,0.211,0.506,19
-53.14,8.79,61.92,0.181,-0.519,-0.383,-0.699,0.662,-0.2,13
-33.52,-46.32,-12.91,0.22,0.164,0.039,-0.029,0.211,0.506,19
-20.19,-31.18,-11.37,-0.443,0.018,-0.801,-0.855,-0.511,0.4,11
-39.96,-18.74,21.21,0.105,-0.813,-0.303,-0.278,0.517,-0.097,27
-41.1,20.1,61.1,0.528,0.352,0.054,0.003,0.859,0.442,18
-38.9,11.3,50,0.533,0.352,0.099,0.166,0.799,0.472,21
-39.2,29.3,68.2,0.625,0.418,0.28,0.115,0.744,0.46,20
-36.4,-20.6,15.8,0.528,0.047,-0.162,-0.201,0.972,0.291,14
-43.6,-39.6,4,0.356,-0.061,-0.153,-0.209,0.802,0.093,13
-40.8,-32.9,7.9,0.471,0.057,-0.01,-0.238,0.919,0.167,13
-42.6,-34.4,8.2,0.391,-0.054,-0.043,-0.233,0.808,0.12,13
-38.3,-24.7,10.6,0.401,-0.483,-0.426,-0.219,0.806,-0.079,18
-51,-39.6,11.4,-0.639,-1.398,-1.097,-0.902,-0.493,-0.557,18
-29.29,-58.99,-29.71,-0.132,-0.604,-0.352,-0.306,0.216,0.011,30
-23.88,-96.23,-72.35,1.103,0.542,0.874,-1.735,-0.008,1.278,14
-23.56,-99.16,-75.6,0.917,0.124,0.573,-1.552,-0.25,1.223,16
-54.81,10.88,65.69,0.189,-0.249,-0.277,-0.248,0.578,-0.021,11
-42.26,-31,11.21,-0.509,-0.373,-0.961,-1.211,-0.308,0.155,8
-26.74,-26.44,0.38,-0.712,-0.252,-0.853,-1.136,0.132,0.294,10
-22.26,-80.92,-58.58,-1.663,-2.972,-2.729,-3.041,-0.89,-2.254,38
-33.8,36,69.7,0.68,0.525,0.102,-0.118,1.038,0.517,25
-41.9,22.4,64.3,0.466,0.27,0.036,-0.02,0.877,0.421,18
-22.05,7.11,29.16,-0.271,0.015,-0.165,-0.463,-0.44,0.028,7
-30.25,5.36,35.61,-0.334,-0.149,-0.16,-0.41,-0.462,-0.065,7
-34.69,9,43.68,-0.246,-0.091,-0.131,-0.347,-0.358,-0.011,7
-42.26,-56.07,-13.81,-0.1,-0.572,-0.617,-0.626,0.266,0.254,8
-19.1,-77.8,-58.68,-0.443,0.018,-0.801,-0.855,-0.511,0.4,11
-28.22,-28.72,-0.66,0.432,0.279,-0.1,-0.217,1.128,0.752,15
-32.55,-30.4,2.15,0.366,0.194,-0.18,-0.173,0.763,0.411,15
-35.77,-43.97,-8.2,-0.562,-0.363,-0.805,-1.154,-0.219,0.115,9
-31.6,39.4,70.8,0.482,0.342,0.097,0.125,0.763,0.419,21
-34.89,9.75,44.66,0.154,0.11,0.029,-0.015,0.165,0.342,27
-26.6,-18.9,7.7,-1.313,-0.925,-1.971,-2.681,-0.735,-1.338,5
-22.18,-39.33,-17.15,1.035,0.691,0.679,-0.369,0.332,1.536,16
-28.12,-31.97,-3.85,1.264,0.652,1.102,-0.817,0.314,1.667,20
