PDB,Smile String,miLogP,TPSA,natoms,MW,nOH,nOHNH,nviolations,nrotb,volume
1lid,CCCCCCCC/C=CCCCCCCCC(=O)O,7.58,37.3,20,282.47,2,1,1,15,318.84
1adl,CCCCC/C=CC/C=CC/C=CC/C=CCCCC(=O)O,6.42,37.3,22,304.47,2,1,1,14,333.88
1e4w,OCC1NOC(=O)CCC(NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)N)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2[nH]cnc2)NC1=O)C(=O)O,-4.58,399.75,66,922.91,25,14,3,13,794.85
1e4x,OCC(NC(=O)C(NC(=O)C(N)C(C)C)C(C)C)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)O,-4.83,367.21,58,816.87,22,14,3,24,729.88
1oim,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,-2.4,92.94,11,163.17,5,5,0,1,147.18
1oin,OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O,-1.93,90.15,12,182.15,5,4,0,1,148.72
1oif,OC[C@H]1CNC[C@@H](O)[C@@H]1O,-1.94,72.71,10,147.17,4,4,0,1,139.14
1w3j,OC[C@H]1ONC[C@@H](O)[C@@H]1O,-1.8,81.94,10,149.15,5,4,0,1,131.32
1bty,NC(=N)c1ccccc1,0.32,49.88,9,120.16,2,3,0,1,117.63
1swg,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,0.76,78.42,16,244.32,5,3,0,5,214.36
1aj6,CO[C@@H]1C(C)(C)O[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)[C@@H](O)[C@@H]1OC(=O)N,3.93,200.02,44,612.63,13,6,3,9,538.2
1kzn,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(oc(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c3O)c2Cl)OC1(C)C,5.73,189.79,49,697.14,13,5,3,10,596.84
1ei1,O[C@H]1[C@@H](O)[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)NP(=O)(O)O)O[C@@H]1n1cnc2c(N)ncnc12,-3.73,281.94,31,506.2,18,9,3,8,358
1drv,O[C@@H]1[C@H](COP(=O)([O-])O[P@@](=O)(O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)O[C@@H]([n+]2cccc(c2)C(=O)C)[C@H]1O,-5.92,295.1,44,662.44,20,7,3,11,511.77
1dru,O[C@@H]1[C@H](COP(=O)([O-])O[P@](=O)(O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)O[C@@H]([n+]2cccc(c2)C(=O)N)[C@H]1O,-6.06,321.12,44,663.43,21,9,3,11,506.5
1ntv,NCCCCC(NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)C1CCCN1C(=O)C(CC(=O)N)NC(=O)C(CC(=O)O)NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)N)C(C)C)C(=O)NC(C(C)O)C(=O)O,-5.47,568.28,89,1253.38,33,24,3,39,1130.26
1oqn,NCCCCC(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)C1CCCN1C(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(NC(=O)CNC(=O)C(N)CC(=O)N)Cc1ccc(O)cc1)C(C)O)C(=O)O,-5.43,503.31,77,1084.15,29,21,3,32,963.76
1j84,OC[C@H]1O[C@H](O[C@@H]2[C@H](CO)OC(O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H]1O,-5.69,347.83,45,666.58,21,14,3,10,548.17
1i82,OC[C@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]1O,-4.45,189.53,23,342.3,11,8,2,4,283.93
1i8a,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,-2.64,110.37,12,180.16,6,5,0,1,151.81
1gz9,OC[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@@H]1O)[C@@H](O)[C@H](O)C=O,-4.82,256.29,33,488.44,15,10,2,10,411.8
1gzc,OC[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O,-4.45,189.53,23,342.3,11,8,2,4,283.93
1fdq,CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)O,5.68,37.3,24,328.5,2,1,1,14,355.11
1fe3,CCCCCCCC/C=CCCCCCCCC(=O)O,7.58,37.3,20,282.47,2,1,1,15,318.84
1gne,SC[C@@H](NC(=O)CC[C@@H](N)C(=O)O)C(=O)NCC(=O)O,-4.97,158.82,20,307.33,9,6,1,9,259.22
1u87,SC[C@@H](NC(=O)CC[C@@H](N)C(=O)O)C(=O)NCC(=O)O,-4.97,158.82,20,307.33,9,6,1,9,259.22
1u88,CCCCCCCCSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,-1.98,158.82,28,419.54,9,6,1,17,393.86
1hpv,Nc1ccc(cc1)S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](NC(=O)O[C@H]1CCOC1)Cc1ccccc1,4.13,131.2,35,505.64,9,4,1,12,458.73
1hsg,O[C@@H](C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1[C@H](O)Cc2ccccc12)CN1CCN(Cc2cccnc2)C[C@@H]1C(=O)NC(C)(C)C,2.51,118.02,45,613.8,9,4,1,12,590.13
1mui,O=C(COc1c(C)cccc1C)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)NC(=O)C(C(C)C)N1CCCNC1=O,5.69,119.99,46,628.81,9,4,2,15,607.96
1ohr,O[C@H](CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)[C@@H](CSc1ccccc1)NC(=O)c1cccc(O)c1C,5.47,101.89,40,567.8,7,4,2,10,544.79
1mtb,NC(=O)C[C@H](NC(=O)c1ccc2ccccc2n1)C(=O)N[C@H](Cc1ccccc1)[C@@H](O)CN1C[C@@H]2CCCC[C@@H]2C[C@@H]1C(=O)NC(C)(C)C,4.26,166.75,49,670.86,11,6,3,13,637.2
1f7a,NCCCCC(N)C(=O)NC(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NC(CCSC)C(=O)NC(CO)C(=O)O,-5.65,470.66,74,1075.3,28,20,3,38,996.67
1t7j,Nc1ccc(cc1)S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](NC(=O)O[C@H]1CCOC1)Cc1ccccc1,4.13,131.2,35,505.64,9,4,1,12,458.73
1t7i,Nc1ccc(cc1)S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12,4.32,140.43,38,547.67,10,4,1,12,490.53
1a30,OC(=O)CCC(N)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)O,-3.89,196.12,26,375.38,11,7,2,12,335.34
1hxw,O=C(OCc1cncs1)N[C@H](Cc1ccccc1)[C@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(C)C,7.51,145.78,50,720.96,11,4,3,18,663.1
